0,1,50
1,0,-1
2,3,51
3,2,-1
4,5,52
5,4,-1
6,7,53
7,6,-1
8,9,74
9,8,-1
12,13,-1
13,12,54
14,15,-1
15,14,55
16,17,-1
17,16,56
18,19,57
19,18,-1
20,21,58
21,20,-1
22,23,-1
23,22,59
25,26,61
26,25,-1
29,30,-1
30,29,62
31,32,63
32,31,-1
33,34,-1
34,33,64
35,36,-1
36,35,65
39,40,-1
40,39,66
43,44,69
44,43,-1
47,48,-1
48,47,70
49,50,-1
50,49,71
51,52,-1
52,51,72
53,54,-1
54,53,73
55,56,-1
56,55,90
59,60,-1
60,59,93
62,63,-1
63,62,95
0,2,-1
2,0,96
4,6,-1
6,4,97
13,15,-1
15,13,77
17,18,-1
18,17,100
20,23,-1
23,20,101
24,25,-1
25,24,78
30,31,-1
31,30,81
34,36,-1
36,34,82
40,41,-1
41,40,85
42,43,-1
43,42,86
48,50,-1
50,48,89
52,54,-1
54,52,108
8,10,98
10,8,-1
11,15,-1
15,11,99
25,27,102
27,25,-1
28,31,-1
31,28,103
36,37,104
37,36,-1
38,41,-1
41,38,105
43,45,106
45,43,-1
46,50,-1
50,46,107
56,57,109
57,56,-1
58,60,-1
60,58,110
61,63,-1
63,61,111
2,6,-1
6,2,112
8,15,-1
15,8,113
18,23,-1
23,18,114
25,31,-1
31,25,115
36,41,-1
41,36,116
43,50,-1
50,43,117
54,56,-1
56,54,118
60,63,-1
63,60,119
6,15,-1
15,6,120
23,31,-1
31,23,121
41,50,-1
50,41,122
56,63,-1
63,56,123
15,31,-1
31,15,124
50,63,-1
63,50,125
31,63,-1
63,31,-2
