149,000,54
149,001,13
149,002,23
149,003,15
149,010,0
149,011,34
149,012,63
149,013,8
149,020,50
149,021,56
149,022,43
149,023,17
149,030,25
149,031,30
149,032,60
149,033,18
149,040,40
149,041,20
149,042,42
149,043,52
149,050,4
149,051,36
149,052,2
149,053,48
149,060,41
149,061,31
149,062,24
149,063,6
149,070,14
149,071,37
149,072,51
149,073,7
149,080,62
149,081,32
149,082,19
149,083,16
149,090,53
149,091,10
149,092,9
149,093,29
149,100,46
149,101,22
149,102,26
149,103,38
149,110,5
149,111,49
149,112,3
149,113,35
149,120,55
149,121,59
149,122,33
149,123,61
149,130,28
149,131,45
149,132,39
149,133,47
401,000,44
401,001,57
401,002,1
401,003,12
401,010,27
401,011,11
401,012,58
401,013,21
